code;nom_fr;nom_en;niveau;ouvert;prefix
LIC_ECO;LICENCE EN ECONOMIE;BACHELOR'S DEGREE IN ECONOMICS;4;1;LICTQG
LIC_CF;LICENCE EN COMPTABILITE ET FINANCE;BACHELOR'S DEGREE IN ACCOUNTING AND FINANCE;4;1;LICTQG
LIC_MKG;LICENCE EN MARKETING;BACHELOR'S DEGREE IN MARKETING;4;1;LICTQG
LIC_MAT;LICENCE EN MATHEMATIQUES;BACHELOR'S DEGREE IN MATHEMATICS;4;1;LICESB
LIC_PHY;LICENCE EN PHYSIQUES;BACHELOR'S DEGREE IN PHYSICS;4;1;LICESB
LIC_CH;LICENCE EN GENIE CHIMIQUE;BACHELOR'S DEGREE IN CHEMICAL ENGINEERING;4;1;LICGCH
LIC_GEL;LICENCE EN GENIE ELECTRIQUE;BACHELOR'S DEGREE IN ELECTRICAL ENGINEERING;4;1;LICGEL
LIC_GIN;LICENCE EN GENIE INFORMATIQUE;BACHELOR'S DEGREE IN COMPUTER ENGINEERING;4;1;LICGIN
LIC_GFO;LICENCE EN GENIE FORESTIER;BACHELOR'S DEGREE IN FORESTRY ENGINEERING;4;1;LICGFO
LIC_GCI;LICENCE EN GENIE CIVIL ;BACHELOR'S DEGREE IN CIVIL ENGINEERING;4;1;LICGCI
LIC_GME;LICENCE EN GENIE MECANIQUE;BACHELOR'S DEGREE IN MECHANICAL ENGINEERING;4;1;LICGME
LIC_ITH;LICENCE EN INDUSTRIE TEXTILE ET D'HABILLEMENT;BACHELOR'S DEGREE IN TEXTILE AND CLOTHING INDUSTRY;4;1;LICITH
