centre;diplome;niveau;filiere;langue;effectif
BAFOUSSAM;BAC C (ENSEIGNEMENT GENERAL);1;BATIMENTS ET TRAVAUX PUBLICS;EN;2
BAFOUSSAM;BAC C (ENSEIGNEMENT GENERAL);1;BATIMENTS ET TRAVAUX PUBLICS;FR;3
